# Line 1: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: TRAMMELL, MONICA
# Field 2: m
# Field 3: 39
# Field 4: 2014-06-11
# Field 5: 431 KIEST BOULEVARD
# Field 6: beat 352
# Field 7: OPEN
  TRAMMELL, MONICA|m|39|2014-06-11|431 KIEST BOULEVARD|beat 352|OPEN

# Line 2: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Pruitt, Patrice
# Field 2: m
# Field 3: 23
# Field 4: 2005-12-11
# Field 5: 2128 MARSALIS AVENUE
# Field 6: Beat 341
# Field 7: open
    Pruitt, Patrice | m | 23 | 2005-12-11 | 2128 MARSALIS AVENUE | Beat 341 | open

# Line 3: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: OKAFOR, CEDRIC
# Field 2: m
# Field 3: 64
# Field 4: 1981-10-22
# Field 5: 8237 KENDALE DRIVE
# Field 6: Beat 326
# Field 7: CLOSED
    OKAFOR, CEDRIC|m|64|1981-10-22|8237 KENDALE DRIVE|Beat 326|CLOSED  

# Line 4: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Winslow, Jorge
# Field 2: m
# Field 3: 31
# Field 4: 2003-06-06
# Field 5: 5821 MILITARY PARKWAY
# Field 6: Beat 352
# Field 7: closed
  Winslow, Jorge | m | 31 | 2003-06-06 | 5821 MILITARY PARKWAY | Beat 352 | closed

# Line 5: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: DELGADO, DENISE
# Field 2: m
# Field 3: 71
# Field 4: 1982-10-16
# Field 5: 1379 marsalis avenue
# Field 6: Beat 214
# Field 7: Closed
  DELGADO, DENISE | m | 71 | 1982-10-16 | 1379 marsalis avenue | Beat 214 | Closed  

# Line 6: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: OKAFOR, DARIUS
# Field 2: M
# Field 3: 16
# Field 4: 2017-07-20
# Field 5: 7282 KIEST BOULEVARD
# Field 6: Beat 326
# Field 7: OPEN
